plate_ID,repo_URI
06_01_013057,https://collections.leventhalmap.org/search/commonwealth:m900r946h
06_01_013058,https://collections.leventhalmap.org/search/commonwealth:m900r9482
06_01_013059,https://collections.leventhalmap.org/search/commonwealth:m900r949b
06_01_013060,https://collections.leventhalmap.org/search/commonwealth:m900r9503
06_01_013061,https://collections.leventhalmap.org/search/commonwealth:m900r951c
06_01_013062,https://collections.leventhalmap.org/search/commonwealth:m900r952n
06_01_013063,https://collections.leventhalmap.org/search/commonwealth:m900r953x
06_01_013064,https://collections.leventhalmap.org/search/commonwealth:m900r9546
06_01_013065,https://collections.leventhalmap.org/search/commonwealth:m900r955g
06_01_013066,https://collections.leventhalmap.org/search/commonwealth:m900r9571
06_01_013067,https://collections.leventhalmap.org/search/commonwealth:m900r9589
06_01_013068,https://collections.leventhalmap.org/search/commonwealth:m900r959k
06_01_013069,https://collections.leventhalmap.org/search/commonwealth:m900r960b
06_01_013070,https://collections.leventhalmap.org/search/commonwealth:m900r961m
06_01_013071,https://collections.leventhalmap.org/search/commonwealth:m900r962w
06_01_013072,https://collections.leventhalmap.org/search/commonwealth:m900r964f
06_01_013073,https://collections.leventhalmap.org/search/commonwealth:m900r9660
06_01_013074,https://collections.leventhalmap.org/search/commonwealth:m900r968j
06_01_013075,https://collections.leventhalmap.org/search/commonwealth:m900r970k
06_01_013076,https://collections.leventhalmap.org/search/commonwealth:m900r971v
06_01_013077,https://collections.leventhalmap.org/search/commonwealth:m900r9724
06_01_013078,https://collections.leventhalmap.org/search/commonwealth:m900r973d
06_01_013079,https://collections.leventhalmap.org/search/commonwealth:m900r974p
06_01_013080,https://collections.leventhalmap.org/search/commonwealth:m900r975z
06_01_013081,https://collections.leventhalmap.org/search/commonwealth:m900r977h
06_01_013082,https://collections.leventhalmap.org/search/commonwealth:m900r978s
06_01_013083,https://collections.leventhalmap.org/search/commonwealth:m900r9792
06_01_013084,https://collections.leventhalmap.org/search/commonwealth:m900r980t
06_01_013085,https://collections.leventhalmap.org/search/commonwealth:m900r9813
06_01_013086,https://collections.leventhalmap.org/search/commonwealth:m900r982c
